Time,Notifier,H,M,R,Country,Domain,OS,ParseDomain
11/14/16,!~ Ar.H.Hacker ~!,,,R,United States,rakerda.pta-jambi.go.id/images...,Linux,rakerda.pta-jambi.go.id
11/14/16,!~ Ar.H.Hacker ~!,,,,United States,controle.cmvalente.ba.gov.br/i...,Linux,controle.cmvalente.ba.gov.br
11/14/16,Mr Anonymous,,,R,United States,www.aclandgabtalibogra.gov.bd/...,Linux,www.aclandgabtalibogra.gov.bd
11/13/16,FL4M3,,,R,Brazil,www.fundosocial.sp.gov.br/inde...,Win 2003,www.fundosocial.sp.gov.br
11/13/16,FL4M3,,M,R,Brazil,www.cidadao.sp.gov.br/index.html,Win 2003,www.cidadao.sp.gov.br
11/13/16,FL4M3,,,,Brazil,www.empresa.sp.gov.br/index.html,Win 2003,www.empresa.sp.gov.br
11/13/16,AnoaGhost,H,M,,Malaysia,jsm.aim.gov.my,Linux,jsm.aim.gov.my
11/13/16,AnoaGhost,H,M,,Malaysia,classifieds.aim.gov.my,Linux,classifieds.aim.gov.my
11/13/16,!~ Ar.H.Hacker ~!,,,R,Indonesia,bpk-manado.litbang.dephut.go.i...,Linux,bpk-manado.litbang.dephut.go.i...
11/13/16,Faisal 1337,,M,,India,scstsenvis.nic.in/writereaddata/,Win 2012,scstsenvis.nic.in
11/13/16,Faisal 1337,,M,,India,ismenvis.nic.in/writereaddata/...,Win 2012,ismenvis.nic.in
11/13/16,Faisal 1337,,M,,India,iomenvis.nic.in/writereaddata/,Win 2012,iomenvis.nic.in
11/13/16,Faisal 1337,,M,,India,iitmenvis.nic.in/writereaddata/,Win 2012,iitmenvis.nic.in
11/13/16,Faisal 1337,,M,,India,iiscenvis.nic.in/writereaddata/,Win 2012,iiscenvis.nic.in
11/13/16,Faisal 1337,,M,,India,iipsenvis.nic.in/writereaddata...,Win 2012,iipsenvis.nic.in
11/13/16,Faisal 1337,,M,,India,iiftenvis.nic.in/writereaddata/,Win 2012,iiftenvis.nic.in
11/13/16,Faisal 1337,,M,,India,iictenvis.nic.in/writereaddata...,Win 2012,iictenvis.nic.in
11/13/16,Faisal 1337,,M,,India,ifs.nic.in/writereaddata/,Win 2012,ifs.nic.in
11/13/16,Faisal 1337,,M,,India,iesenvis.nic.in/writereaddata/...,Win 2012,iesenvis.nic.in
11/13/16,Faisal 1337,,M,,India,icpeenvis.nic.in/writereaddata...,Win 2012,icpeenvis.nic.in
11/13/16,Faisal 1337,,M,,India,hpenvis.nic.in/writereaddata/i...,Win 2012,hpenvis.nic.in
11/13/16,Faisal 1337,,M,,India,goaenvis.nic.in/writereaddata/,Win 2012,goaenvis.nic.in
11/13/16,Faisal 1337,,M,,India,gcpcenvis.nic.in/writereaddata/,Win 2012,gcpcenvis.nic.in
11/13/16,Faisal 1337,,M,,India,frlhtenvis.nic.in/writereaddat...,Win 2012,frlhtenvis.nic.in
11/13/16,Faisal 1337,,M,,India,fcpms.nic.in/writereaddata/,Win 2012,fcpms.nic.in
11/13/16,Faisal 1337,,M,,India,envisecotourism.nic.in/writere...,Win 2012,envisecotourism.nic.in
11/13/16,Faisal 1337,,M,,India,emprienvis.nic.in/writereaddata/,Win 2012,emprienvis.nic.in
11/13/16,Faisal 1337,,M,,India,cpreecenvis.nic.in/writereadda...,Win 2012,cpreecenvis.nic.in
11/13/16,Faisal 1337,,M,,India,chenvis.nic.in/writereaddata/,Win 2012,chenvis.nic.in
11/13/16,Faisal 1337,,M,,India,casmbenvis.nic.in/writereaddat...,Win 2012,casmbenvis.nic.in
11/13/16,Faisal 1337,,M,,India,bsienvis.nic.in/writereaddata/...,Win 2012,bsienvis.nic.in
11/13/16,Faisal 1337,,M,,India,bnhsenvis.nic.in/writereaddata...,Win 2012,bnhsenvis.nic.in
11/13/16,Faisal 1337,,M,,India,asmenvis.nic.in/writereaddata/...,Win 2012,asmenvis.nic.in
11/13/16,aDriv4,,M,R,Poland,www.wolow.sr.gov.pl/images/ve.htm,Linux,www.wolow.sr.gov.pl
11/13/16,aDriv4,H,M,,Venezuela,mujeres.agn.gob.ve,Linux,mujeres.agn.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,tierrafirme.cnh.gob.ve,Linux,tierrafirme.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,soporte.cnh.gob.ve,Linux,soporte.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,rsocial.cnh.gob.ve,Linux,rsocial.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,nuestrosur.cnh.gob.ve,Linux,nuestrosur.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,enciclopedia.cnh.gob.ve,Linux,enciclopedia.cnh.gob.ve
11/13/16,aDriv4,,M,R,Venezuela,congreso.cnh.gob.ve/index.php,Linux,congreso.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,chat.cnh.gob.ve,Linux,chat.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,alimentacion.cnh.gob.ve,Linux,alimentacion.cnh.gob.ve
11/13/16,aDriv4,H,M,,Venezuela,actualizacion.cnh.gob.ve,Linux,actualizacion.cnh.gob.ve
11/13/16,Shade,H,,,Brazil,edu.se.df.gov.br,Linux,edu.se.df.gov.br
11/13/16,Faisal 1337,,,,India,www.urbanprices.gov.in/writere...,Win 2012,www.urbanprices.gov.in
11/13/16,Faisal 1337,,M,,India,www.zsienvis.nic.in/writereadd...,Win 2012,www.zsienvis.nic.in
11/13/16,Faisal 1337,,M,,India,wwfenvis.nic.in/writereaddata/...,Win 2012,wwfenvis.nic.in
11/13/16,Faisal 1337,,M,,India,wiienvis.nic.in/writereaddata/...,Win 2012,wiienvis.nic.in
11/13/16,Faisal 1337,,M,,India,upenvis.nic.in/writereaddata/i...,Win 2012,upenvis.nic.in
11/13/16,Faisal 1337,,M,,India,tnenvis.nic.in/writereaddata/i...,Win 2012,tnenvis.nic.in
11/13/16,Faisal 1337,,M,,India,tigernet.nic.in/writereaddata/,Win 2012,tigernet.nic.in
11/13/16,Faisal 1337,,M,,India,terienvis.nic.in/writereaddata/,Win 2012,terienvis.nic.in
11/13/16,Faisal 1337,,M,,India,sulabhenvis.nic.in/writereadda...,Win 2012,sulabhenvis.nic.in
11/13/16,Faisal 1337,,M,,India,spaenvis.nic.in/writereaddata/...,Win 2012,spaenvis.nic.in
11/13/16,Faisal 1337,,M,,India,sikenvis.nic.in/writereaddata/...,Win 2012,sikenvis.nic.in
11/13/16,Faisal 1337,,M,,India,punenvis.nic.in/writereaddata/...,Win 2012,punenvis.nic.in
11/13/16,Faisal 1337,,M,,India,projecttiger.nic.in/WriteReadD...,Win 2012,projecttiger.nic.in
11/13/16,Faisal 1337,,M,,India,nhwis.nic.in/writereaddata/,Win 2012,nhwis.nic.in
11/13/16,Faisal 1337,,M,,India,nagenvis.nic.in/writereaddata/...,Win 2012,nagenvis.nic.in
11/13/16,Faisal 1337,,M,,India,mpenvis.nic.in/writereaddata/,Win 2012,mpenvis.nic.in
11/13/16,Faisal 1337,,M,,India,kerenvis.nic.in/writereaddata/...,Win 2012,kerenvis.nic.in
11/13/16,Faisal 1337,,M,,India,jkspcb.nic.in/writereaddata/,Win 2012,jkspcb.nic.in
11/13/16,Faisal 1337,,M,,India,jharenvis.nic.in/writereaddata...,Win 2012,jharenvis.nic.in
11/13/16,Faisal 1337,,,,India,itrcenvis.nic.in/writereaddata...,Win 2012,itrcenvis.nic.in
11/13/16,Faisal 1337,,M,,India,tourismpmis.nic.in/writereaddata/,Win 2012,tourismpmis.nic.in
11/13/16,Faisal 1337,,M,,India,tourismfinacct.nic.in/writerea...,Win 2012,tourismfinacct.nic.in
11/13/16,Faisal 1337,,M,,India,nationalarchives.nic.in/writer...,Win 2012,nationalarchives.nic.in
11/13/16,Team_CC,,M,R,Colombia,planeacion.risaralda.gov.co/si...,Linux,planeacion.risaralda.gov.co
11/13/16,Team_CC,,M,R,Colombia,husj.risaralda.gov.co/capacita...,Linux,husj.risaralda.gov.co
11/13/16,Team_CC,,M,R,Colombia,www.pvr.gov.co/sitio/skidie.html,Linux,www.pvr.gov.co
11/13/16,Team_CC,,M,R,Colombia,www.asamblearisaralda.gov.co/s...,Linux,www.asamblearisaralda.gov.co
11/13/16,0x1999,,M,,Indonesia,smk.lpmpjateng.go.id/0x1.htm,Linux,smk.lpmpjateng.go.id
11/13/16,0x1999,,M,,Indonesia,monev.lpmpjateng.go.id/0x1.htm,Linux,monev.lpmpjateng.go.id
11/13/16,0x1999,,M,,Indonesia,kelasdigital.lpmpjateng.go.id/...,Linux,kelasdigital.lpmpjateng.go.id
11/13/16,0x1999,,M,,Indonesia,pmp.lpmpjateng.go.id/0x1.htm,Linux,pmp.lpmpjateng.go.id
11/13/16,0x1999,,M,,Indonesia,kur2013.lpmpjateng.go.id/0x1.htm,Linux,kur2013.lpmpjateng.go.id
11/13/16,0x1999,,M,,Indonesia,perpustakaan.lpmpjateng.go.id/...,Linux,perpustakaan.lpmpjateng.go.id
11/13/16,0x1999,,M,,Indonesia,supervisi.lpmpjateng.go.id/0x1...,Linux,supervisi.lpmpjateng.go.id
11/13/16,aDriv4,H,,,Italy,www.arcacapitanata.gov.it,Linux,www.arcacapitanata.gov.it
11/13/16,hasnain haxor,,,,India,www.irsofficersonline.gov.in/p...,Win 2008,www.irsofficersonline.gov.in
11/13/16,Z3z3-HaCkEr,H,M,R,Thailand,www.maeyom.go.th,Linux,www.maeyom.go.th
11/13/16,Z3z3-HaCkEr,H,M,R,Thailand,www.nakhonchaisi-sao.go.th,Linux,www.nakhonchaisi-sao.go.th
